Tank,Treatment,Day,Hardness,Alkalinity,ABS,Copper,Alive,Dead,pH,Dissolved Oxygen,Specific Conductance,Temperature,Date
1,T,2,,,18493.19,0.20779,20.0,5.0,8.36,9.12,523.0,14.5,2017-10-12
2,T,2,,,17753.32,0.19947,18.0,7.0,8.38,9.25,523.0,14.4,2017-10-12
3,C,2,,,57.07,0.00069,25.0,0.0,8.24,8.93,520.0,15.7,2017-10-12
4,T,2,,,18022.49,0.2025,19.0,6.0,8.37,9.33,516.0,14.5,2017-10-12
5,C,2,,,106.52,0.00125,25.0,0.0,8.33,8.56,522.0,16.1,2017-10-12
6,T,2,,,17309.5,0.19447,17.0,8.0,8.37,9.29,524.0,14.4,2017-10-12
7,T,2,,,16791.29,0.18864,18.0,7.0,8.38,9.32,524.0,14.4,2017-10-12
1,T,3,,,37314.17,0.41683,14.0,11.0,8.16,8.46,542.0,14.1,2017-10-13
2,T,3,,,33136.07,0.3698,12.0,13.0,8.15,8.64,546.0,14.1,2017-10-13
3,C,3,,,316.11,0.00153,25.0,0.0,8.23,7.99,538.0,16.8,2017-10-13
4,T,3,,,35766.36,0.3994,12.0,12.0,8.18,8.86,546.0,14.1,2017-10-13
5,C,3,,,276.66,0.00109,25.0,0.0,8.32,8.48,538.0,17.1,2017-10-13
6,T,3,,,32334.27,0.36078,10.0,15.0,8.15,8.75,545.0,14.1,2017-10-13
7,T,3,,,31342.91,0.34963,12.0,13.0,8.14,8.78,546.0,14.1,2017-10-13
1,T,4,,,26447.82,0.28788,7.0,17.0,8.13,8.42,484.0,12.8,2017-10-14
2,T,4,,,25207.37,0.27435,10.0,15.0,8.11,8.52,484.0,12.9,2017-10-14
3,C,4,,,221.9,0.0025,25.0,0.0,8.23,8.71,477.0,14.1,2017-10-14
6,T,4,,,25126.37,0.27347,11.0,14.0,8.13,8.65,482.0,12.9,2017-10-14
7,T,4,,,24837.48,0.27032,9.0,15.0,8.13,8.66,484.0,12.9,2017-10-14
8,T,4,,,25147.18,0.27369,6.0,19.0,8.12,8.64,484.0,12.9,2017-10-14
9,C,4,,,353.87,0.00393,25.0,0.0,8.27,8.24,484.0,14.3,2017-10-14
1,T,5,,,47429.05,0.51125,6.0,19.0,8.13,8.6,514.0,12.6,2017-10-15
4,T,5,,,46487.16,0.50106,7.0,18.0,8.16,8.91,514.0,12.6,2017-10-15
5,C,5,,,399.08,0.00485,25.0,0.0,8.33,8.98,514.0,14.5,2017-10-15
6,T,5,,,45380.91,0.48909,8.0,17.0,8.15,8.8,516.0,12.6,2017-10-15
7,T,5,,,42512.12,0.45806,3.0,22.0,8.16,8.79,513.0,12.6,2017-10-15
8,T,5,,,43228.56,0.46581,1.0,24.0,8.17,8.78,509.0,12.6,2017-10-15
9,C,5,,,519.34,0.00613,25.0,0.0,8.28,8.65,511.0,14.8,2017-10-15
1,T,6,,,19066.55,0.2063,3.0,22.0,8.06,8.32,528.0,12.4,2017-10-16
2,T,6,,,16129.38,0.17416,2.0,23.0,8.06,8.38,527.0,12.4,2017-10-16
3,C,6,,,534.23,0.0038,22.0,0.0,8.29,8.94,522.0,14.1,2017-10-16
4,T,6,,,18350.86,0.19847,6.0,19.0,8.09,8.61,525.0,12.4,2017-10-16
7,T,6,,,14534.57,0.15672,4.0,21.0,8.0,8.46,527.0,12.4,2017-10-16
8,T,6,,,14953.56,0.1613,2.0,23.0,8.02,8.46,527.0,12.4,2017-10-16
9,C,6,,,604.99,0.00457,26.0,0.0,8.29,8.28,523.0,14.9,2017-10-16
1,T,7,,,38284.58,0.4156,1.0,24.0,8.03,7.91,555.0,13.0,2017-10-17
2,T,7,,,36176.58,0.39259,1.0,24.0,8.01,8.0,554.0,12.9,2017-10-17
3,C,7,,,523.88,0.00509,25.0,0.0,8.2,8.85,556.0,16.5,2017-10-17
4,T,7,,,37514.29,0.40719,0.0,25.0,8.01,8.1,576.0,13.1,2017-10-17
5,C,7,,,444.77,0.00424,25.0,0.0,8.26,8.88,572.0,17.2,2017-10-17
6,T,7,,,35838.69,0.38891,2.0,23.0,8.02,8.1,575.0,13.0,2017-10-17
8,T,7,,,35070.27,0.38053,2.0,22.0,8.03,8.14,581.0,12.9,2017-10-17
2,T,8,,,19850.86,0.21619,1.0,49.0,8.12,8.54,481.0,13.3,2017-10-18
4,T,8,,,21124.83,0.23017,0.0,50.0,8.13,8.67,482.0,13.3,2017-10-18
5,C,8,,,422.08,0.00339,50.0,0.0,8.27,8.69,485.0,16.7,2017-10-18
6,T,8,,,19928.4,0.21704,1.0,49.0,8.11,8.6,481.0,13.3,2017-10-18
7,T,8,,,19926.57,0.21702,2.0,48.0,8.11,8.6,481.0,13.2,2017-10-18
8,T,8,,,19753.6,0.21513,4.0,45.0,8.11,8.6,481.0,13.2,2017-10-18
9,C,8,,,507.08,0.00432,50.0,0.0,8.23,8.37,479.0,16.8,2017-10-18
1,T,9,,,46185.99,0.50564,0.0,50.0,8.03,8.26,529.0,12.7,2017-10-19
2,T,9,,,49828.08,0.54576,0.0,50.0,8.02,8.31,529.0,12.7,2017-10-19
3,C,9,,,830.75,0.00786,50.0,0.0,8.16,8.67,525.0,14.7,2017-10-19
4,T,9,,,46176.86,0.50554,0.0,50.0,8.06,8.39,528.0,12.8,2017-10-19
7,T,9,,,47267.01,0.51755,1.0,49.0,8.05,8.37,529.0,12.8,2017-10-19
8,T,9,,,47111.38,0.51583,3.0,46.0,8.06,8.37,528.0,12.7,2017-10-19
9,C,9,,,943.61,0.00909,50.0,0.0,8.14,8.24,529.0,15.0,2017-10-20
1,T,10,,,38419.22,0.42105,0.0,50.0,7.91,8.15,493.0,13.3,2017-10-20
2,T,10,,,37864.47,0.41492,0.0,50.0,7.94,8.17,500.0,13.2,2017-10-20
3,C,10,,,700.1,0.00552,50.0,0.0,8.09,8.87,493.0,15.2,2017-10-20
4,T,10,,,37736.95,0.41351,0.0,50.0,7.94,8.26,500.0,13.3,2017-10-20
5,C,10,,,846.13,0.00712,50.0,0.0,8.11,8.78,498.0,15.6,2017-10-20
6,T,10,,,37382.52,0.40959,1.0,49.0,7.94,8.26,500.0,13.2,2017-10-20
7,T,10,,,37424.56,0.41005,0.0,50.0,7.93,8.25,498.0,13.2,2017-10-20
1,T,1,,,,,,,8.28,9.18,499.0,13.7,2017-10-11
2,T,1,,,,,,,8.29,9.52,483.0,13.7,2017-10-11
3,C,1,,,,,,,8.27,9.82,493.0,14.4,2017-10-11
4,T,1,,,,,,,8.33,9.45,477.0,13.7,2017-10-11
7,T,1,,,,,,,8.35,9.45,501.0,13.7,2017-10-11
8,T,1,,,,,,,8.35,9.45,502.0,13.7,2017-10-11
9,C,1,,,,,,,8.35,9.71,501.0,14.8,2017-10-11
